So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000058,7.2,6.0,3.2,5.5,6.0,5.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3000059,6.4,6.75,5.8,-1.0,-1.0,-1.0,-1.0,4.0,5.75,8.0,5.92,6
3000060,8.0,6.25,7.8,6.25,6.5,4.25,5.67,-1.0,-1.0,-1.0,-1.0,6
3000061,7.4,7.0,6.8,7.0,4.75,4.5,5.42,-1.0,-1.0,-1.0,-1.0,6
3000062,8.0,7.0,5.8,-1.0,-1.0,-1.0,-1.0,6.75,8.25,9.75,8.25,6
3000063,7.4,6.25,5.2,-1.0,-1.0,-1.0,-1.0,5.75,6.25,8.5,6.83,6
3000064,5.8,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.75,5.75,-1.0,-1.0,4
3000065,8.2,7.0,7.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3
3000066,3.4,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,4.5,-1.0,-1.0,4
3000067,7.4,5.25,4.0,7.5,7.0,5.75,6.75,-1.0,-1.0,-1.0,-1.0,6
3000068,3.8,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,5.75,-1.0,-1.0,4
3000069,6.4,5.0,3.0,-1.0,-1.0,-1.0,-1.0,6.0,7.75,6.75,6.83,6
3000070,5.0,5.75,-1.0,-1.0,-1.0,-1.0,-1.0,4.75,4.75,-1.0,-1.0,4
3000071,8.2,5.25,3.4,7.5,7.0,3.5,6.0,-1.0,-1.0,-1.0,-1.0,6
3000072,5.4,6.0,3.0,4.5,4.5,3.75,4.25,-1.0,-1.0,-1.0,-1.0,6
3000073,5.0,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5.75,-1.0,-1.0,4
3000074,6.8,6.5,4.6,-1.0,-1.0,-1.0,-1.0,3.75,5.5,7.5,5.58,6
3000075,5.4,6.25,3.8,-1.0,-1.0,-1.0,-1.0,5.5,5.75,7.0,6.08,6
3000076,7.0,7.75,8.2,-1.0,-1.0,-1.0,-1.0,8.5,8.25,9.0,8.58,6
3000077,8.2,7.25,7.4,6.0,8.25,7.75,7.33,-1.0,-1.0,-1.0,-1.0,6
3000078,7.2,7.75,7.2,-1.0,-1.0,-1.0,-1.0,5.0,7.0,8.25,6.75,6
3000079,5.4,3.75,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.0,-1.0,-1.0,4
3000080,7.2,7.75,5.6,-1.0,-1.0,-1.0,-1.0,5.75,6.5,9.25,7.17,6
3000081,7.4,5.0,4.0,7.0,7.0,3.75,5.92,-1.0,-1.0,-1.0,-1.0,6
3000082,7.0,5.5,5.2,-1.0,-1.0,-1.0,-1.0,6.5,6.75,8.5,7.25,6
3000083,6.6,4.5,5.8,7.5,6.0,3.5,5.67,-1.0,-1.0,-1.0,-1.0,6
3000084,6.6,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7.25,-1.0,-1.0,4
3000085,8.0,3.75,4.2,5.0,3.25,2.75,3.67,-1.0,-1.0,-1.0,-1.0,6
3000086,6.4,6.0,5.0,-1.0,-1.0,-1.0,-1.0,2.25,6.25,8.25,5.58,6
3000087,7.6,6.25,4.0,3.5,6.0,5.0,4.83,-1.0,-1.0,-1.0,-1.0,6
3000088,7.6,5.0,3.0,8.0,6.25,4.75,6.33,-1.0,-1.0,-1.0,-1.0,6
3000089,2.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,3.0,-1.0,-1.0,4
3000090,7.8,5.0,3.8,7.25,7.25,4.75,6.42,-1.0,-1.0,-1.0,-1.0,6
3000091,5.2,7.0,3.8,-1.0,-1.0,-1.0,-1.0,5.5,6.5,8.0,6.67,6
3000092,5.6,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.75,-1.0,-1.0,4
3000093,7.0,5.75,4.0,4.75,3.75,4.0,4.17,-1.0,-1.0,-1.0,-1.0,6
3000094,8.0,4.5,4.2,6.25,6.75,3.5,5.5,-1.0,-1.0,-1.0,-1.0,6
3000095,7.0,5.0,4.0,4.0,5.75,2.5,4.08,-1.0,-1.0,-1.0,-1.0,6
3000096,5.4,6.25,8.8,-1.0,-1.0,-1.0,-1.0,3.25,7.25,7.5,6.0,6
3000097,5.2,6.5,5.0,-1.0,-1.0,-1.0,-1.0,4.25,4.75,8.0,5.67,6
3000098,6.8,7.25,6.6,-1.0,-1.0,-1.0,-1.0,5.0,5.5,9.25,6.58,6
3000099,7.8,7.0,8.4,5.5,4.25,4.5,4.75,-1.0,-1.0,-1.0,-1.0,6
3000100,7.4,7.25,6.4,-1.0,-1.0,-1.0,-1.0,4.5,6.25,8.25,6.33,6
3000101,7.6,6.0,3.0,8.5,8.25,4.0,6.92,-1.0,-1.0,-1.0,-1.0,6
3000102,7.0,6.75,5.0,-1.0,-1.0,-1.0,-1.0,4.5,7.5,9.25,7.08,6
3000103,1.6,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,4.25,-1.0,-1.0,4
3000104,6.4,6.75,5.0,-1.0,-1.0,-1.0,-1.0,5.25,6.5,8.25,6.67,6
3000105,6.0,5.5,5.2,6.75,3.25,4.0,4.67,-1.0,-1.0,-1.0,-1.0,6
3000106,7.4,5.75,5.2,6.0,4.25,4.25,4.83,-1.0,-1.0,-1.0,-1.0,6
3000107,9.0,4.75,8.6,8.0,6.0,3.75,5.92,-1.0,-1.0,-1.0,-1.0,6
3000108,7.0,5.5,5.2,-1.0,-1.0,-1.0,-1.0,5.5,7.75,9.25,7.5,6
3000109,5.8,5.5,4.6,4.0,2.75,3.75,3.5,-1.0,-1.0,-1.0,-1.0,6
3000110,6.6,5.25,6.0,5.25,1.25,4.0,3.5,-1.0,-1.0,-1.0,-1.0,6
3000111,5.2,5.25,3.2,-1.0,-1.0,-1.0,-1.0,3.5,6.25,7.5,5.75,6
3000112,7.6,6.5,6.2,8.75,6.5,5.75,7.0,-1.0,-1.0,-1.0,-1.0,6
3000113,7.8,5.25,8.0,8.0,3.5,4.0,5.17,-1.0,-1.0,-1.0,-1.0,6
