So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3001268,6.8,6.0,6.4,-1.0,-1.0,-1.0,-1.0,6.25,8.0,8.25,7.5,6
3001269,5.2,7.25,3.2,-1.0,-1.0,-1.0,-1.0,4.25,5.25,8.75,6.08,6
3001270,5.6,6.0,4.8,-1.0,-1.0,-1.0,-1.0,3.25,6.5,8.5,6.08,6
3001271,7.2,6.5,4.8,-1.0,-1.0,-1.0,-1.0,3.25,7.25,8.75,6.42,6
3001272,4.0,6.0,3.8,-1.0,-1.0,-1.0,-1.0,3.0,5.75,7.25,5.33,6
3001273,6.8,6.5,4.6,-1.0,-1.0,-1.0,-1.0,6.5,8.75,9.25,8.17,6
3001274,5.8,6.0,7.6,5.25,4.5,4.25,4.67,-1.0,-1.0,-1.0,-1.0,6
3001275,7.0,5.0,3.0,7.0,5.75,5.25,6.0,-1.0,-1.0,-1.0,-1.0,6
3001276,6.8,5.25,4.4,-1.0,-1.0,-1.0,-1.0,4.0,7.0,9.5,6.83,6
3001277,4.8,6.5,3.2,-1.0,-1.0,-1.0,-1.0,3.75,5.75,8.25,5.92,6
3001278,7.2,6.5,7.0,-1.0,-1.0,-1.0,-1.0,4.5,6.75,9.0,6.75,6
3001279,5.4,6.0,3.2,-1.0,-1.0,-1.0,-1.0,3.75,6.5,8.5,6.25,6
3001280,8.0,6.5,6.0,4.75,7.0,5.25,5.67,-1.0,-1.0,-1.0,-1.0,6
3001281,6.8,6.75,3.4,-1.0,-1.0,-1.0,-1.0,4.0,6.5,9.25,6.58,6
3001282,6.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,4.25,6.5,8.75,6.5,6
3001283,7.4,7.0,6.2,-1.0,-1.0,-1.0,-1.0,7.0,8.5,9.75,8.42,6
3001284,5.6,6.25,3.4,-1.0,-1.0,-1.0,-1.0,4.25,6.25,8.25,6.25,6
3001285,7.0,4.25,4.0,4.0,5.25,5.75,5.0,-1.0,-1.0,-1.0,-1.0,6
3001286,7.6,7.0,6.6,-1.0,-1.0,-1.0,-1.0,5.0,7.5,10.0,7.5,6
3001287,6.4,7.5,6.4,-1.0,-1.0,-1.0,-1.0,4.5,6.25,8.5,6.42,6
3001288,7.0,7.0,1.4,-1.0,-1.0,-1.0,-1.0,4.5,7.0,9.5,7.0,6
3001289,4.8,5.75,3.0,-1.0,-1.0,-1.0,-1.0,4.75,6.75,9.25,6.92,6
3001290,7.6,6.25,4.4,4.0,5.25,6.25,5.17,-1.0,-1.0,-1.0,-1.0,6
3001291,7.2,4.0,3.6,-1.0,-1.0,-1.0,-1.0,3.25,5.75,8.25,5.75,6
3001292,5.0,5.5,2.8,2.5,3.75,4.0,3.42,-1.0,-1.0,-1.0,-1.0,6
3001293,6.4,3.75,6.8,-1.0,-1.0,-1.0,-1.0,5.75,6.25,8.25,6.75,6
3001294,4.6,3.0,3.6,-1.0,-1.0,-1.0,-1.0,3.0,5.25,5.75,4.67,6
3001295,5.2,2.75,3.4,-1.0,-1.0,-1.0,-1.0,2.75,5.5,6.75,5.0,6
3001296,4.8,4.25,2.6,-1.0,-1.0,-1.0,-1.0,2.25,4.0,6.5,4.25,6
3001297,8.0,5.75,4.6,6.25,7.0,3.25,5.5,-1.0,-1.0,-1.0,-1.0,6
3001298,2.6,4.75,3.0,-1.0,-1.0,-1.0,-1.0,3.5,6.0,7.0,5.5,6
3001299,6.4,2.25,3.8,-1.0,-1.0,-1.0,-1.0,2.25,7.25,7.75,5.75,6
3001300,7.2,6.5,2.4,-1.0,-1.0,-1.0,-1.0,3.5,5.0,7.75,5.42,6
3001301,7.0,5.5,3.0,-1.0,-1.0,-1.0,-1.0,4.25,7.75,8.5,6.83,6
3001302,3.8,3.75,2.6,-1.0,-1.0,-1.0,-1.0,2.75,4.5,6.25,4.5,6
3001303,7.4,4.0,4.2,4.75,3.75,5.5,4.67,-1.0,-1.0,-1.0,-1.0,6
3001304,5.0,4.0,1.6,-1.0,-1.0,-1.0,-1.0,5.25,8.0,8.5,7.25,6
3001305,6.0,5.25,3.2,-1.0,-1.0,-1.0,-1.0,3.0,5.25,7.25,5.17,6
3001306,8.2,4.25,6.0,-1.0,-1.0,-1.0,-1.0,5.5,7.75,8.5,7.25,6
3001307,5.0,5.75,4.4,-1.0,-1.0,-1.0,-1.0,5.5,7.75,9.25,7.5,6
3001308,7.6,6.5,3.6,-1.0,-1.0,-1.0,-1.0,3.25,7.75,8.75,6.58,6
3001309,7.2,5.5,4.2,4.25,4.0,5.5,4.58,-1.0,-1.0,-1.0,-1.0,6
3001310,7.8,5.75,2.6,5.25,3.25,4.25,4.25,-1.0,-1.0,-1.0,-1.0,6
3001311,3.4,4.0,2.8,-1.0,-1.0,-1.0,-1.0,2.75,4.75,7.5,5.0,6
3001312,6.4,6.5,3.4,3.75,4.25,3.75,3.92,-1.0,-1.0,-1.0,-1.0,6
3001313,7.4,2.75,3.4,-1.0,-1.0,-1.0,-1.0,3.25,4.25,4.5,4.0,6
3001314,6.0,4.5,1.8,2.5,3.5,5.25,3.75,-1.0,-1.0,-1.0,-1.0,6
3001315,6.0,3.5,2.8,-1.0,-1.0,-1.0,-1.0,3.5,6.25,6.75,5.5,6
3001316,8.0,6.5,4.0,3.75,6.0,5.0,4.92,-1.0,-1.0,-1.0,-1.0,6
3001317,7.4,6.25,4.8,-1.0,-1.0,-1.0,-1.0,6.0,7.75,9.75,7.83,6
3001318,4.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,3.5,5.5,8.75,5.92,6
3001319,6.0,7.0,3.8,-1.0,-1.0,-1.0,-1.0,3.25,5.0,7.75,5.33,6
3001320,6.6,6.5,4.0,-1.0,-1.0,-1.0,-1.0,3.0,6.5,8.0,5.83,6
3001321,7.6,5.75,4.6,5.25,5.25,5.25,5.25,-1.0,-1.0,-1.0,-1.0,6
3001322,6.2,5.5,2.6,-1.0,-1.0,-1.0,-1.0,4.5,8.0,9.5,7.33,6
3001323,6.2,7.25,5.4,-1.0,-1.0,-1.0,-1.0,3.5,6.5,9.25,6.42,6
3001324,5.4,4.75,3.8,-1.0,-1.0,-1.0,-1.0,3.25,5.5,7.25,5.33,6
3001325,6.4,6.5,4.6,-1.0,-1.0,-1.0,-1.0,5.25,7.0,8.5,6.92,6
3001326,4.4,6.25,2.6,-1.0,-1.0,-1.0,-1.0,4.25,5.0,8.25,5.83,6
3001327,8.2,4.25,7.0,-1.0,-1.0,-1.0,-1.0,5.75,6.25,8.75,6.92,6
3001328,7.0,5.75,3.4,4.5,7.0,5.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3001329,3.2,5.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,4.75,8.25,5.33,6
3001330,7.0,6.0,4.4,-1.0,-1.0,-1.0,-1.0,3.25,5.75,8.75,5.92,6
3001331,5.0,5.5,3.4,-1.0,-1.0,-1.0,-1.0,4.75,5.75,8.75,6.42,6
3001332,6.6,6.5,4.6,-1.0,-1.0,-1.0,-1.0,6.0,6.75,8.25,7.0,6
3001333,7.4,5.75,2.8,-1.0,-1.0,-1.0,-1.0,2.75,5.0,9.0,5.58,6
3001334,8.8,6.75,7.0,7.25,6.75,5.25,6.42,-1.0,-1.0,-1.0,-1.0,6
3001335,6.6,5.5,3.8,-1.0,-1.0,-1.0,-1.0,3.0,7.0,8.75,6.25,6
3001336,6.2,6.0,2.4,-1.0,-1.0,-1.0,-1.0,3.0,4.75,7.25,5.0,6
3001337,4.6,5.0,3.0,-1.0,-1.0,-1.0,-1.0,3.25,5.25,8.0,5.5,6
3001338,6.0,6.25,4.2,-1.0,-1.0,-1.0,-1.0,5.0,7.5,8.5,7.0,6
3001339,5.8,5.5,4.0,-1.0,-1.0,-1.0,-1.0,4.5,6.0,9.25,6.58,6
3001340,7.6,3.75,2.8,-1.0,-1.0,-1.0,-1.0,3.0,5.5,6.5,5.0,6
3001341,6.6,4.5,4.2,-1.0,-1.0,-1.0,-1.0,3.75,6.0,9.5,6.42,6
3001342,2.8,3.5,2.4,-1.0,-1.0,-1.0,-1.0,1.5,6.5,6.0,4.67,6
3001343,4.8,4.75,3.0,-1.0,-1.0,-1.0,-1.0,4.25,6.75,7.0,6.0,6
3001344,6.4,6.25,2.4,-1.0,-1.0,-1.0,-1.0,6.0,7.25,9.25,7.5,6
3001345,8.2,4.25,4.2,7.75,5.5,4.5,5.92,-1.0,-1.0,-1.0,-1.0,6
3001346,6.8,6.25,3.0,-1.0,-1.0,-1.0,-1.0,4.75,5.25,8.75,6.25,6
3001347,5.8,6.0,4.8,-1.0,-1.0,-1.0,-1.0,4.5,7.5,8.5,6.83,6
3001348,6.2,4.75,3.8,-1.0,-1.0,-1.0,-1.0,4.25,7.25,8.75,6.75,6
3001349,6.4,4.75,2.2,3.25,3.0,3.75,3.33,-1.0,-1.0,-1.0,-1.0,6
3001350,7.4,5.5,3.2,4.75,3.75,4.25,4.25,-1.0,-1.0,-1.0,-1.0,6
3001351,8.6,6.0,3.4,6.5,5.0,4.5,5.33,-1.0,-1.0,-1.0,-1.0,6
3001352,4.0,4.5,3.2,-1.0,-1.0,-1.0,-1.0,3.5,5.5,8.0,5.67,6
3001353,7.6,7.0,5.6,5.75,6.75,6.0,6.17,-1.0,-1.0,-1.0,-1.0,6
3001354,7.0,5.0,5.0,5.25,6.0,5.75,5.67,-1.0,-1.0,-1.0,-1.0,6
3001355,9.0,5.25,7.4,7.75,5.5,5.25,6.17,-1.0,-1.0,-1.0,-1.0,6
3001356,4.4,4.5,2.6,-1.0,-1.0,-1.0,-1.0,4.0,5.75,6.75,5.5,6
3001357,6.4,6.25,3.2,-1.0,-1.0,-1.0,-1.0,3.5,6.5,9.0,6.33,6
3001358,5.2,6.25,3.8,-1.0,-1.0,-1.0,-1.0,4.0,5.75,9.5,6.42,6
3001359,7.0,6.25,3.2,-1.0,-1.0,-1.0,-1.0,3.5,6.25,7.75,5.83,6
3001360,7.0,6.25,4.8,-1.0,-1.0,-1.0,-1.0,5.5,7.0,9.0,7.17,6
3001361,4.4,5.0,2.6,-1.0,-1.0,-1.0,-1.0,3.0,6.0,7.0,5.33,6
3001362,6.0,4.75,3.2,-1.0,-1.0,-1.0,-1.0,6.5,7.25,9.75,7.83,6
3001363,5.4,5.75,4.4,-1.0,-1.0,-1.0,-1.0,3.75,6.0,9.5,6.42,6
3001364,5.6,5.0,3.8,-1.0,-1.0,-1.0,-1.0,3.25,4.75,6.5,4.83,6
3001365,7.0,7.25,3.0,-1.0,-1.0,-1.0,-1.0,3.25,5.75,8.25,5.75,6
3001366,6.6,5.5,2.4,-1.0,-1.0,-1.0,-1.0,4.25,6.25,8.75,6.42,6
3001367,4.0,5.5,3.0,-1.0,-1.0,-1.0,-1.0,3.5,4.75,6.75,5.0,6
3001368,4.6,5.0,2.6,-1.0,-1.0,-1.0,-1.0,3.0,5.75,6.0,4.92,6
3001369,2.6,3.75,2.6,-1.0,-1.0,-1.0,-1.0,1.75,4.5,4.75,3.67,6
3001370,4.8,5.5,3.4,-1.0,-1.0,-1.0,-1.0,3.5,5.5,9.75,6.25,6
3001371,4.8,4.0,4.0,-1.0,-1.0,-1.0,-1.0,3.0,4.5,7.25,4.92,6
3001372,9.2,6.5,7.2,7.25,7.5,5.5,6.75,-1.0,-1.0,-1.0,-1.0,6
3001373,7.0,3.75,2.4,6.25,2.5,3.5,4.08,-1.0,-1.0,-1.0,-1.0,6
3001374,5.8,5.25,4.0,-1.0,-1.0,-1.0,-1.0,3.5,7.5,8.75,6.58,6
3001375,5.2,3.5,3.8,-1.0,-1.0,-1.0,-1.0,4.0,6.5,8.25,6.25,6
3001376,7.4,8.0,7.2,-1.0,-1.0,-1.0,-1.0,7.75,8.0,9.25,8.33,6
3001377,6.4,6.0,5.4,-1.0,-1.0,-1.0,-1.0,2.75,4.25,9.5,5.5,6
3001378,5.6,3.5,2.6,-1.0,-1.0,-1.0,-1.0,4.75,6.5,8.0,6.42,6
3001379,6.4,6.0,3.2,-1.0,-1.0,-1.0,-1.0,4.75,7.0,8.5,6.75,6
3001380,6.8,5.5,4.8,-1.0,-1.0,-1.0,-1.0,5.75,7.0,8.75,7.17,6
3001381,5.0,5.5,3.0,-1.0,-1.0,-1.0,-1.0,3.5,6.0,6.0,5.17,6
3001382,7.0,5.0,4.0,-1.0,-1.0,-1.0,-1.0,3.5,5.5,8.5,5.83,6
3001383,5.0,5.5,2.8,-1.0,-1.0,-1.0,-1.0,3.0,7.75,9.25,6.67,6
3001384,6.8,5.5,3.6,-1.0,-1.0,-1.0,-1.0,5.75,6.25,8.5,6.83,6
3001385,6.8,5.75,2.8,6.5,5.5,3.5,5.17,-1.0,-1.0,-1.0,-1.0,6
3001386,6.0,6.75,2.8,-1.0,-1.0,-1.0,-1.0,4.0,4.75,8.25,5.67,6
3001387,6.4,5.5,2.4,3.5,2.75,4.25,3.5,-1.0,-1.0,-1.0,-1.0,6
3001388,7.8,4.75,4.4,4.75,3.5,5.5,4.58,-1.0,-1.0,-1.0,-1.0,6
3001389,7.0,5.25,3.4,2.5,6.0,6.5,5.0,-1.0,-1.0,-1.0,-1.0,6
3001390,5.4,5.0,4.2,4.5,3.5,2.75,3.58,-1.0,-1.0,-1.0,-1.0,6
3001391,7.4,6.5,6.6,3.25,4.5,7.25,5.0,-1.0,-1.0,-1.0,-1.0,6
3001392,7.2,6.75,-1.0,2.75,6.25,5.5,4.83,-1.0,-1.0,-1.0,-1.0,5
3001393,6.2,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.75,6.0,8.75,6.17,5
3001394,7.0,6.0,4.2,5.5,5.25,6.25,5.67,-1.0,-1.0,-1.0,-1.0,6
3001395,7.4,6.25,2.8,5.5,3.25,4.75,4.5,-1.0,-1.0,-1.0,-1.0,6
3001396,7.4,6.0,6.6,4.25,6.25,6.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3001397,7.0,6.5,4.4,5.5,4.75,5.25,5.17,-1.0,-1.0,-1.0,-1.0,6
3001398,5.2,5.5,3.2,-1.0,-1.0,-1.0,-1.0,4.5,6.0,8.75,6.42,6
3001399,3.8,3.25,2.8,-1.0,-1.0,-1.0,-1.0,2.25,2.5,6.5,3.75,6
3001400,6.4,4.5,3.8,-1.0,-1.0,-1.0,-1.0,4.5,6.0,8.5,6.33,6
3001401,8.0,5.75,4.6,5.5,4.75,6.0,5.42,-1.0,-1.0,-1.0,-1.0,6
3001402,5.4,6.5,4.8,-1.0,-1.0,-1.0,-1.0,5.25,6.0,8.5,6.58,6
3001403,5.2,6.0,2.2,-1.0,-1.0,-1.0,-1.0,3.25,6.5,9.5,6.42,6
3001404,6.4,6.25,2.4,6.0,4.75,4.25,5.0,-1.0,-1.0,-1.0,-1.0,6
3001405,6.0,5.25,4.0,-1.0,-1.0,-1.0,-1.0,4.0,6.75,9.25,6.67,6
3001406,7.6,7.25,6.6,4.75,5.75,5.25,5.25,-1.0,-1.0,-1.0,-1.0,6
3001407,6.6,6.0,5.0,-1.0,-1.0,-1.0,-1.0,4.5,5.75,8.75,6.33,6
3001408,5.4,4.25,1.4,-1.0,-1.0,-1.0,-1.0,3.0,5.5,9.0,5.83,6
3001409,7.6,7.75,7.6,5.75,4.75,5.75,5.42,-1.0,-1.0,-1.0,-1.0,6
3001410,7.6,6.0,2.6,4.0,4.25,5.75,4.67,-1.0,-1.0,-1.0,-1.0,6
3001411,8.0,4.0,6.2,5.75,3.5,4.75,4.67,-1.0,-1.0,-1.0,-1.0,6
3001412,5.6,6.5,4.4,-1.0,-1.0,-1.0,-1.0,4.25,4.75,9.5,6.17,6
3001413,5.6,7.0,4.8,-1.0,-1.0,-1.0,-1.0,3.25,4.5,8.0,5.25,6
3001414,3.4,5.5,4.0,-1.0,-1.0,-1.0,-1.0,3.5,4.0,7.25,4.92,6
3001415,3.6,6.0,3.8,-1.0,-1.0,-1.0,-1.0,2.25,3.5,6.0,3.92,6
3001416,8.0,5.75,6.8,-1.0,-1.0,-1.0,-1.0,8.25,8.25,9.75,8.75,6
3001417,4.8,5.5,3.8,-1.0,-1.0,-1.0,-1.0,2.25,6.25,7.0,5.17,6
3001418,7.2,6.0,3.6,-1.0,-1.0,-1.0,-1.0,5.0,6.0,9.5,6.83,6
3001419,7.4,7.25,4.0,-1.0,-1.0,-1.0,-1.0,6.25,7.25,9.0,7.5,6
3001420,4.4,6.25,3.2,-1.0,-1.0,-1.0,-1.0,4.75,6.75,9.0,6.83,6
3001421,5.6,6.0,3.2,-1.0,-1.0,-1.0,-1.0,4.0,6.75,8.0,6.25,6
3001422,6.6,6.5,4.0,-1.0,-1.0,-1.0,-1.0,2.75,5.25,9.25,5.75,6
3001423,7.4,5.5,6.8,4.5,4.5,5.25,4.75,-1.0,-1.0,-1.0,-1.0,6
3001424,3.6,4.5,1.2,-1.0,-1.0,-1.0,-1.0,2.75,5.0,7.0,4.92,6
3001425,5.4,5.0,3.8,4.5,5.5,6.5,5.5,-1.0,-1.0,-1.0,-1.0,6
3001426,7.8,4.25,2.8,6.75,6.75,5.0,6.17,-1.0,-1.0,-1.0,-1.0,6
3001427,5.4,6.0,3.8,-1.0,-1.0,-1.0,-1.0,4.5,6.5,8.75,6.58,6
3001428,6.4,6.75,4.2,-1.0,-1.0,-1.0,-1.0,4.5,7.25,9.0,6.92,6
3001429,7.2,6.25,2.8,-1.0,-1.0,-1.0,-1.0,4.75,6.75,8.5,6.67,6
3001430,4.0,6.0,2.2,-1.0,-1.0,-1.0,-1.0,6.75,8.75,9.25,8.25,6
3001431,4.6,7.25,2.8,-1.0,-1.0,-1.0,-1.0,5.5,6.75,8.25,6.83,6
3001432,7.0,6.25,7.6,-1.0,-1.0,-1.0,-1.0,3.75,6.75,9.0,6.5,6
3001433,7.6,5.25,3.0,-1.0,-1.0,-1.0,-1.0,4.25,7.0,8.25,6.5,6
3001434,5.4,6.0,3.2,-1.0,-1.0,-1.0,-1.0,4.5,6.25,9.5,6.75,6
3001435,6.0,5.0,3.6,-1.0,-1.0,-1.0,-1.0,3.25,7.75,9.0,6.67,6
3001436,5.0,4.0,3.2,-1.0,-1.0,-1.0,-1.0,2.75,6.0,7.75,5.5,6
3001437,4.6,6.5,4.4,-1.0,-1.0,-1.0,-1.0,3.25,6.75,9.0,6.33,6
3001438,4.8,4.5,3.0,-1.0,-1.0,-1.0,-1.0,3.25,4.0,7.0,4.75,6
3001439,4.0,4.5,2.8,-1.0,-1.0,-1.0,-1.0,2.75,5.25,6.5,4.83,6
3001440,5.8,5.25,2.4,-1.0,-1.0,-1.0,-1.0,3.75,6.25,8.25,6.08,6
3001441,6.2,7.5,5.6,-1.0,-1.0,-1.0,-1.0,6.25,6.0,9.0,7.08,6
3001442,5.8,5.0,2.4,-1.0,-1.0,-1.0,-1.0,3.25,5.75,8.25,5.75,6
3001443,6.4,6.0,2.6,5.5,6.0,5.0,5.5,-1.0,-1.0,-1.0,-1.0,6
3001444,6.0,5.5,2.4,-1.0,-1.0,-1.0,-1.0,3.5,7.25,7.0,5.92,6
3001445,5.6,4.75,2.4,-1.0,-1.0,-1.0,-1.0,3.5,5.75,7.75,5.67,6
3001446,2.4,7.5,2.4,-1.0,-1.0,-1.0,-1.0,4.5,5.75,7.5,5.92,6
3001447,5.0,5.75,2.8,-1.0,-1.0,-1.0,-1.0,4.25,6.5,8.5,6.42,6
3001448,4.2,3.5,3.4,-1.0,-1.0,-1.0,-1.0,3.75,4.25,9.0,5.67,6
3001449,9.2,5.0,7.4,7.0,7.0,8.5,7.5,-1.0,-1.0,-1.0,-1.0,6
3001450,4.8,3.75,2.6,-1.0,-1.0,-1.0,-1.0,4.0,5.0,9.0,6.0,6
3001451,6.0,6.5,4.2,-1.0,-1.0,-1.0,-1.0,2.5,5.75,8.25,5.5,6
3001452,6.4,6.5,2.0,-1.0,-1.0,-1.0,-1.0,3.75,5.75,9.0,6.17,6
3001453,6.2,5.25,3.6,-1.0,-1.0,-1.0,-1.0,4.5,6.0,8.5,6.33,6
3001454,4.6,6.0,3.4,-1.0,-1.0,-1.0,-1.0,2.75,4.0,6.75,4.5,6
3001455,5.6,3.5,2.4,-1.0,-1.0,-1.0,-1.0,3.25,4.75,7.75,5.25,6
3001456,4.6,7.25,3.4,-1.0,-1.0,-1.0,-1.0,4.5,5.75,7.75,6.0,6
3001457,4.2,3.75,3.0,-1.0,-1.0,-1.0,-1.0,3.75,5.5,8.5,5.92,6
3001458,8.0,6.0,4.6,4.5,5.0,7.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3001459,6.4,5.0,2.0,-1.0,-1.0,-1.0,-1.0,4.0,5.25,8.5,5.92,6
3001460,4.2,6.25,6.8,-1.0,-1.0,-1.0,-1.0,5.0,6.75,8.75,6.83,6
3001461,5.2,5.75,4.0,-1.0,-1.0,-1.0,-1.0,4.5,6.0,8.5,6.33,6
3001462,6.8,6.25,4.2,-1.0,-1.0,-1.0,-1.0,4.75,6.25,9.25,6.75,6
3001463,5.2,3.25,3.8,-1.0,-1.0,-1.0,-1.0,2.75,5.25,6.75,4.92,6
3001464,4.6,5.5,4.6,-1.0,-1.0,-1.0,-1.0,3.25,5.25,7.75,5.42,6
3001465,4.2,5.0,2.2,-1.0,-1.0,-1.0,-1.0,3.5,4.5,6.5,4.83,6
3001467,2.6,4.5,2.6,-1.0,-1.0,-1.0,-1.0,2.0,4.5,6.5,4.33,6
3001468,5.8,6.75,5.2,-1.0,-1.0,-1.0,-1.0,5.0,6.75,8.25,6.67,6
3001469,6.2,6.0,2.6,-1.0,-1.0,-1.0,-1.0,4.5,6.25,8.75,6.5,6
3001470,8.2,6.0,5.0,7.5,6.75,4.75,6.33,-1.0,-1.0,-1.0,-1.0,6
3001471,6.0,6.25,5.2,2.75,5.5,4.0,4.08,-1.0,-1.0,-1.0,-1.0,6
3001472,6.4,5.25,3.6,-1.0,-1.0,-1.0,-1.0,5.25,7.5,9.5,7.42,6
3001473,5.4,5.75,1.8,-1.0,-1.0,-1.0,-1.0,2.75,6.5,8.0,5.75,6
3001474,6.0,3.75,3.6,4.25,3.5,1.75,3.17,-1.0,-1.0,-1.0,-1.0,6
3001475,4.0,2.5,3.2,-1.0,-1.0,-1.0,-1.0,2.25,3.75,5.25,3.75,6
3001476,5.4,6.25,3.2,-1.0,-1.0,-1.0,-1.0,4.0,5.5,7.5,5.67,6
3001477,4.0,5.0,3.4,-1.0,-1.0,-1.0,-1.0,2.75,6.5,4.5,4.58,6
3001478,5.0,5.75,3.8,-1.0,-1.0,-1.0,-1.0,4.0,6.5,8.0,6.17,6
3001479,8.0,3.25,2.8,8.0,6.25,4.0,6.08,-1.0,-1.0,-1.0,-1.0,6
3001480,3.4,4.5,2.6,-1.0,-1.0,-1.0,-1.0,3.25,4.25,8.25,5.25,6
3001481,5.2,2.5,2.2,-1.0,-1.0,-1.0,-1.0,2.5,4.75,5.0,4.08,6
3001482,4.8,5.0,2.0,-1.0,-1.0,-1.0,-1.0,2.75,6.25,8.75,5.92,6
3001483,5.8,4.75,2.6,2.25,3.5,3.0,2.92,-1.0,-1.0,-1.0,-1.0,6
3001484,7.4,6.0,4.6,6.75,5.25,5.25,5.75,-1.0,-1.0,-1.0,-1.0,6
3001485,7.0,4.75,3.0,6.25,6.0,5.25,5.83,-1.0,-1.0,-1.0,-1.0,6
3001486,7.4,6.75,3.0,-1.0,-1.0,-1.0,-1.0,4.25,7.0,8.5,6.58,6
3001487,6.6,5.5,4.0,3.5,3.0,3.25,3.25,-1.0,-1.0,-1.0,-1.0,6
3001488,5.0,5.5,3.4,-1.0,-1.0,-1.0,-1.0,3.5,6.5,8.5,6.17,6
3001489,6.2,6.0,3.2,-1.0,-1.0,-1.0,-1.0,5.0,7.0,9.25,7.08,6
3001490,6.4,7.0,3.8,-1.0,-1.0,-1.0,-1.0,3.25,6.5,9.0,6.25,6
3001491,4.2,5.25,3.6,-1.0,-1.0,-1.0,-1.0,3.25,5.5,7.75,5.5,6
3001492,4.8,3.75,2.0,-1.0,-1.0,-1.0,-1.0,3.0,7.0,7.5,5.83,6
3001493,4.8,3.0,6.6,-1.0,-1.0,-1.0,-1.0,4.0,5.25,8.25,5.83,6
3001494,5.4,7.0,3.0,-1.0,-1.0,-1.0,-1.0,3.75,5.75,8.25,5.92,6
3001495,6.6,6.25,5.6,4.0,3.25,4.0,3.75,-1.0,-1.0,-1.0,-1.0,6
3001496,4.4,6.25,3.4,-1.0,-1.0,-1.0,-1.0,3.5,6.25,8.0,5.92,6
3001497,5.4,6.75,3.0,-1.0,-1.0,-1.0,-1.0,2.25,4.25,7.0,4.5,6
3001498,6.4,7.25,3.4,-1.0,-1.0,-1.0,-1.0,4.75,7.0,9.0,6.92,6
3001499,7.2,5.25,6.0,-1.0,-1.0,-1.0,-1.0,7.5,7.75,9.25,8.17,6
3001500,7.0,6.25,5.4,6.5,3.5,4.75,4.92,-1.0,-1.0,-1.0,-1.0,6
3001501,6.8,6.75,5.2,-1.0,-1.0,-1.0,-1.0,5.0,5.75,9.0,6.58,6
3001502,4.4,5.25,3.4,-1.0,-1.0,-1.0,-1.0,2.5,5.25,6.25,4.67,6
3001503,4.8,5.75,3.6,-1.0,-1.0,-1.0,-1.0,2.75,6.5,8.0,5.75,6
3001504,3.2,5.0,3.0,-1.0,-1.0,-1.0,-1.0,2.75,5.25,6.5,4.83,6
3001505,4.6,5.75,4.0,-1.0,-1.0,-1.0,-1.0,3.5,5.0,7.25,5.25,6
3001506,5.6,6.75,2.8,-1.0,-1.0,-1.0,-1.0,5.0,7.0,8.5,6.83,6
3001507,6.4,5.75,2.0,-1.0,-1.0,-1.0,-1.0,4.5,6.0,8.0,6.17,6
3001508,5.0,6.5,3.4,-1.0,-1.0,-1.0,-1.0,3.75,6.75,9.25,6.58,6
3001509,6.2,4.0,4.2,-1.0,-1.0,-1.0,-1.0,3.25,6.25,7.75,5.75,6
3001510,8.6,6.25,5.6,6.5,6.75,4.75,6.0,-1.0,-1.0,-1.0,-1.0,6
3001511,7.4,7.0,6.2,4.5,6.0,5.75,5.42,-1.0,-1.0,-1.0,-1.0,6
3001512,4.4,3.5,3.6,-1.0,-1.0,-1.0,-1.0,1.75,5.75,6.5,4.67,6
3001513,7.2,5.75,5.4,-1.0,-1.0,-1.0,-1.0,4.75,5.5,6.75,5.67,6
3001514,5.6,4.5,2.6,-1.0,-1.0,-1.0,-1.0,4.75,7.0,8.5,6.75,6
3001515,6.8,4.5,3.4,7.0,5.5,4.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3001516,7.4,5.0,3.2,7.5,6.0,4.5,6.0,-1.0,-1.0,-1.0,-1.0,6
3001517,6.6,5.25,5.2,7.0,4.25,3.25,4.83,-1.0,-1.0,-1.0,-1.0,6
3001518,7.8,6.25,4.4,7.0,5.5,6.25,6.25,-1.0,-1.0,-1.0,-1.0,6
3001519,7.2,6.5,5.0,-1.0,-1.0,-1.0,-1.0,4.75,7.75,8.25,6.92,6
3001520,6.6,6.25,7.4,-1.0,-1.0,-1.0,-1.0,7.5,8.5,9.0,8.33,6
3001521,8.2,4.75,8.2,7.25,4.75,3.75,5.25,-1.0,-1.0,-1.0,-1.0,6
3001522,7.6,5.75,-1.0,7.5,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4
3001523,7.0,6.25,6.4,-1.0,-1.0,-1.0,-1.0,5.25,6.75,9.0,7.0,6
3001524,8.6,7.0,5.8,8.25,8.0,5.0,7.08,-1.0,-1.0,-1.0,-1.0,6
3001525,6.2,6.25,6.4,4.75,4.25,4.5,4.5,-1.0,-1.0,-1.0,-1.0,6
